storeid,name,picturepath,participating,mobile1,mobile2,smartphone,dataconn,tabwithdataconn,landline,city,area,sector,landmark,pincode,storetype,storesize,discountavailable,discounttype,discountpercent,discountcriteria,daysnotworking,starttime,closingtime,deliver,deliverytime,minimumdeliveryamount,knowsenglish,whatsapp,address,email,ownername,lstnumber,cstnumber,pannumber,vatnumber,tinnumber,longitude,lattitude,capturestarttime,captureendtime,imeino,imsino,mac,androidid,Date,F48,Start_Time,F50,End_Time,F52,F53,F54
224,Raj Traders,lof/seller/IMG_20150928_153442.jpg,Yes,9619547343,0,No,,No,0,,Airoli,3,Shiv Mandir,400708,Kirana,Flat,No,Regular,,0,All Days Working,1.9E+016,1.9E+016,Yes,1.9E+016,0,No,No,,kirana224@hylosh.com,,,,,,,72.9981698,19.1584455,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
225,Metro Super Market,lof/seller/IMG_20150928_153953.jpg,Yes,8879504314,0,Yes,,Yes,0,,Airoli,3,Near Shankar Mandir,400708,Kirana,Flat,No,Regular,,0,All Days,1.9E+016,1.9E+016,Yes,1.9E+016,0,No,Yes,,kirana225@hylosh.com,,,,,,,72.9969174,19.1607682,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
227,Mukesh Provision Store's,lof/seller/IMG_20150928_154741.jpg,Yes,9029742891,0,Yes,,Yes,0,,Airoli,3,Near Shankar Mandir,400708,Kirana,Flat,Yes,Regular,,0,All Days working,1.9E+016,1.9E+016,Yes,1.9E+016,0,No,Yes,,kirana227@hylosh.com,,,,,,,72.9969174,19.1607682,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,1.9E+016,
228,Mahaveer Medical Store,lof/seller/IMG_20150928_155126.jpg,Yes,0,0,No,,No,2264642064,,Airoli,2,Dutta Megha College,400708,Chemist,Flat,No,Regular,,0,All Days Working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,,kirana228@hylosh.com,,,,,,,72.9979496,19.1596623,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
230,Chamunda Traders,lof/seller/IMG_20150928_163135.jpg,Yes,8080220202,0,Yes,,No,0,,Airoli,3,Patel Building,400708,Kirana,Flat,No,Big,,0,All Days Working,1.9E+016,1.9E+016,Yes,1.9E+016,0,No,Yes,,kirana230@hylosh.com,CHAUDHARY,,,,,,72.99813,19.1582649,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
233,Gurukrupa Medical,lof/seller/IMG_20150928_164353.jpg,Yes,9324245987,9812945220,Yes,,Yes,0,,Airoli,3,Near Aroli Bus Depo,400708,Chemist,Flat,No,Regular,,0,All day's working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,Yes,,kirana233@hylosh.com,,,,,,,72.9979632,19.156834,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
234,Maharashtra Medical,lof/seller/IMG_20150928_175233.jpg,Yes,0,0,Yes,,Yes,2227791685,,Airoli,4,Gandhi Hospital,400708,Chemist,Flat,No,Regular,,0,Sundays,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,Yes,"Shop No.3,Rubby Building, sec.4,Airoli",kirana234@hylosh.com,V.M.GANDHI,,,,,,72.9994058,19.1513466,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
235,Relief Medico,lof/seller/IMG_20150928_180049.jpg,Yes,9860642436,0,Yes,,Yes,0,,Airoli,5,Wood Zone,400708,Chemist,Flat,No,Big,,0,All Days Working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,Yes,"Blue Heaven Chs. Ground Floor,Sec 5 Airoli",kirana235@hylosh.com,JAYESH,,,,,,72.9990598,19.1488759,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
236,Shiv Samarth,lof/seller/IMG_20150928_180800.jpg,Yes,7666452043,9867773756,No,,No,0,,Airoli,5,opp poonam sweet,400708,Kirana,Flat,No,Regular,,0,All Day's Working,1.9E+016,1.9E+016,Yes,1.9E+016,0,No,No,Blue Heaven CHS,kirana236@hylosh.com,NILESH AAROTE,,,,,,72.9993556,19.1513315,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,0,
237,Sahkar Bazar,lof/seller/IMG_20150928_181302.jpg,Yes,0,0,No,,No,2227790675,,Airoli,5,Sant Sawta Bhavan,400708,Kirana,Flat,No,Big,,0,all day's working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,"Sector No.5,Airoli",kirana237@hylosh.com,,,,,,,72.9976025,19.1518519,2.02E+016,2.02E+016,,,,,2.02E+016,,1.9E+016,PM,1.9E+016,PM,1.9E+016,
