storeid,name,picturepath,participating,mobile1,mobile2,smartphone,dataconn,tabwithdataconn,landline,city,area,sector,landmark,pincode,storetype,storesize,discountavailable,discounttype,discountpercent,discountcriteria,daysnotworking,starttime,closingtime,deliver,deliverytime,minimumdeliveryamount,knowsenglish,whatsapp,address,email,ownername,lstnumber,cstnumber,pannumber,vatnumber,tinnumber,longitude,lattitude,capturestarttime,captureendtime,imeino,imsino,mac,androidid,Date,F48,Start_Time,F50,End_Time,F52,F53,F54
1199,MUSA KADRI GENERAL STORE,lof/seller/IMG_20151024_160949.jpg,Yes,0,0,No,,No,0,,Vashi,,GOLDEN STEEL CORPORATION,400705,Kirana,Flat,No,Regular,,0,ALL DAYS OPEN,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,K K R ROAD,kirana1203@hylosh.com,MOUSIN HAMID TAMBOLI,,,,,,73.02024,19.0763483,2.02E+016,2.02E+016,911000000000000,404000000000000,00:0a:00:1f:25:27,5a103d6e6f43d147,2.02E+016,,0,,0,,0,
1200,UJMA STATIONERY GENERAL KIRANA STORE,lof/seller/IMG_20151024_161217.jpg,Yes,9867392601,0,No,,No,0,,Vashi,,GOLDEN STEEL CORPORATION,400705,Kirana,Flat,No,Regular,,0,ALL DAYS OPEN,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,K K R ROAD,kirana1204@hylosh.com,NIZAM KAMBOLI,,,,,,73.0202866,19.0767616,2.02E+016,2.02E+016,911000000000000,404000000000000,00:0a:00:1f:25:27,5a103d6e6f43d147,2.02E+016,,0,,0,,0,
1201,SANJAY KIRANA AND GENERAL STORE,lof/seller/IMG_20151024_161511.jpg,Yes,9930130025,0,No,,No,0,,Vashi,,GOLDEN STEEL CORPORATION,400705,Kirana,Flat,No,Regular,,0,ALL DAYS OPEN,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,K K R ROAD,kirana1205@hylosh.com,SANJAY GUPTA,,,,,,73.02044,19.07677,2.02E+016,2.02E+016,911000000000000,404000000000000,00:0a:00:1f:25:27,5a103d6e6f43d147,2.02E+016,,0,,0,,0,
1202,jaya kirana store,lof/seller/IMG_20151024_161334.jpg,Yes,9860231451,0,No,,No,0,,koparkhairane,10,ganesh mitra mandal,400709,Kirana,Flat,Yes,Regular,,0,all days open,1.9E+016,1.9E+016,Yes,1.9E+016,5000,No,No,shop no.2 &3. suyash society,kirana1206@hylosh.com,M R TANWAR,,,,,,73.0071674,19.0986056,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
1203,Maharashtra supermarket,lof/seller/IMG_20151024_162712.jpg,Yes,0,0,No,,No,2227547633,,koparkhairane,,corporation bank,400709,Kirana,Flat,Yes,Big,,0,all days open,1.9E+016,1.9E+016,Yes,1.9E+016,5000,No,No,shop no.11. sifli park,kirana1207@hylosh.com,P C CHOUDHARY,,,,,,73.0078214,19.0977539,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
1204,rajhans supermarket,lof/seller/IMG_20151024_163201.jpg,Yes,9096036154,0,No,,No,0,,koparkhairane,,corporation bank,400709,Kirana,Flat,Yes,Regular,,0,all days open,1.9E+016,1.9E+016,Yes,1.9E+016,5000,No,No,sho no.21. sisicly park,kirana1208@hylosh.com,DINESH,,,,,,73.007887,19.0975148,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
1205,Ashapura chemist,lof/seller/IMG_20151024_163548.jpg,Yes,9324881067,0,No,,No,0,,koparkhairane,,bank of Maharashtra,400709,Chemist,Flat,No,Regular,,0,Sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,bhakti anugan socty. shop no 11,kirana1209@hylosh.com,KALPESH,,,,,,73.0082786,19.0957129,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
1206,ambika supermarket,lof/seller/IMG_20151024_164237.jpg,Yes,8080470929,0,No,,No,0,,koparkhairane,11,bank of Maharashtra,400709,Kirana,Flat,No,Regular,,0,all days open,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,shop no.25. fam society,kirana1210@hylosh.com,S S RATHOD,,,,,,73.0087035,19.0950223,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
1207,city chemist,lof/seller/IMG_20151024_164536.jpg,Yes,0,0,No,,No,2232712794,,koparkhairane,11,bank of Maharashtra,400709,Chemist,Flat,No,Regular,,0,sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no. 46. fam society,kirana1211@hylosh.com,MR. OMI,,,,,,73.0089222,19.0950916,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
1208,neelkamal chemist,lof/seller/IMG_20151024_164909.jpg,Yes,0,0,No,,No,2227540749,,koparkhairane,11,bank of Maharashtra,400709,Chemist,Flat,No,Regular,,0,sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no.21. fam society,kirana1212@hylosh.com,MR. RATAN,,,,,,73.0083395,19.0952561,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
