storeid,name,picturepath,participating,mobile1,mobile2,smartphone,dataconn,tabwithdataconn,landline,city,area,sector,landmark,pincode,storetype,storesize,discountavailable,discounttype,discountpercent,discountcriteria,daysnotworking,starttime,closingtime,deliver,deliverytime,minimumdeliveryamount,knowsenglish,whatsapp,address,email,ownername,lstnumber,cstnumber,pannumber,vatnumber,tinnumber,longitude,lattitude,capturestarttime,captureendtime,imeino,imsino,mac,androidid,Date,F48,Start_Time,F50,End_Time,F52,F53,F54
885,bipin super bazaar,lof/seller/IMG_20151019_115256.jpg,Yes,9820702117,0,No,,No,0,,Vashi,28,blue diamond hotel,400703,Kirana,Flat,Yes,Big,,0,all days open,1.9E+016,1.9E+016,Yes,1.9E+016,5000,No,No,"shop no. 1,2. plot 132.",kirana888@hylosh.com,DINESH,,,,,,73.0072626,19.0893208,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
886,national chemist,lof/seller/IMG_20151019_115701.jpg,Yes,0,0,No,,No,2227897108,,Vashi,28,blue diamond chs,400703,Chemist,Flat,No,Regular,,0,sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no. 8. plot 132.,kirana889@hylosh.com,MR. SURESH,,,,,,73.007289,19.0893147,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
887,ambika foods & general store,lof/seller/IMG_20151019_120433.jpg,Yes,0,0,No,,No,227664028,,Vashi,28,blue diamond hotel,400703,Kirana,Flat,No,Regular,,0,all days open,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,shop no.5. mousam chs,kirana890@hylosh.com,TARACHAND,,,,,,73.0084006,19.0889826,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
888,New Sapna Kirana Bazar,lof/seller/IMG_20151019_121019.jpg,No,0,0,NA,,,0,,NA,,,0,NA,NA,NA,,,0,,1.9E+016,1.9E+016,NA,0,0,,NA,,kirana891@hylosh.com,,,,,,,0,0,0,2.02E+016,,,,,2.02E+016,,0,,0,,0,
889,Shree Chardhar General Stores,lof/seller/IMG_20151019_121300.jpg,Yes,0,0,No,,No,227572170,,Belapur,9,Shopping Center,400614,Kirana,Flat,No,Regular,,0,All Day working,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Shopping center Sector 9 Belapur,kirana892@hylosh.com,RAMESH,,,,,,73.0343131,19.0293839,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
890,Manasvi Medical Store,lof/seller/IMG_20151019_122055.jpg,Yes,9029352040,8452821176,Yes,,No,0,,Belapur,,Jyotirmaya Complex,400614,Chemist,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,Yes,Shop No 10 Plot No 5 Jyotirmaya Complex Sector 8A Cbd Belapur,kirana893@hylosh.com,,,,,,,73.0411218,19.0301267,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
891,Patel Stores,lof/seller/IMG_20151019_122442.jpg,Yes,9819676503,0,Yes,,No,0,,Belapur,8,Jyotirmaya Complex,400614,Kirana,Flat,No,Regular,,0,All Day working,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Shop No 8/9 Jyotirmaya Complex Sector 8 Belapur,kirana894@hylosh.com,,,,,,,73.0412821,19.0305186,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
892,Jay Hanuman Kirana Stores,lof/seller/IMG_20151019_122703.jpg,Yes,9769831956,0,Yes,,No,0,,Belapur,8,Jyotirmaya Complex,400614,Kirana,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Jyotirmaya Complex Sector 8 Belapur,kirana895@hylosh.com,,,,,,,73.0413827,19.0306805,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
893,Shree Siddhi Vinayak Medical & General Store,lof/seller/IMG_20151019_122623.jpg,No,0,0,NA,,,0,,NA,,,0,NA,NA,NA,,,0,,1.9E+016,1.9E+016,NA,0,0,,NA,,kirana896@hylosh.com,,,,,,,0,0,0,2.02E+016,,,,,2.02E+016,,0,,0,,0,
894,Sarswati General Stores,lof/seller/IMG_20151019_123324.jpg,Yes,9594268090,0,Yes,,No,0,,Belapur,8,Arenja Complex,400614,Kirana,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Shop No 8 Sector 8 Arenja Complex Belapur,kirana897@hylosh.com,,,,,,,73.0420354,19.0302286,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
895,Shree Krushna Super Market,lof/seller/IMG_20151019_123350.jpg,No,0,0,NA,,,0,,NA,,,0,NA,NA,NA,,,0,,1.9E+016,1.9E+016,NA,0,0,,NA,,kirana898@hylosh.com,,,,,,,0,0,0,2.02E+016,,,,,2.02E+016,,0,,0,,0,
896,Getwel Medico,lof/seller/IMG_20151019_123640.jpg,Yes,0,0,No,,No,2227575237,,Belapur,8,Arenja Complex,400614,Chemist,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,Shop No 16 Arenja Complex Sector 8 Belapur,kirana899@hylosh.com,,,,,,,73.0420517,19.0304168,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
897,Jay Gagangiri Stationary & General Store,lof/seller/IMG_20151019_123737.jpg,No,0,0,NA,,,0,,NA,,,0,NA,NA,NA,,,0,,1.9E+016,1.9E+016,NA,0,0,,NA,,kirana900@hylosh.com,,,,,,,0,0,0,2.02E+016,,,,,2.02E+016,,0,,0,,0,
898,Viswam General Store,lof/seller/IMG_20151019_124137.jpg,Yes,8879924028,9930762759,Yes,,No,0,,Kamothe,16,Near Yashraj Complex,410209,Kirana,Flat,No,Regular,,0,Sunday,1.9E+016,1.9E+016,Yes,1.9E+016,500,Yes,Yes,Shop 4 Shree Vighnharta Building Sector 16 Kamothe,kirana901@hylosh.com,,,,,,,73.0906266,19.0149033,2.02E+016,2.02E+016,911000000000000,405000000000000,90:21:81:26:9c:08,a7e56ec2f8644cd9,2.02E+016,,0,,0,,0,
899,Shivam General Stores,lof/seller/IMG_20151019_124323.jpg,Yes,0,0,No,,No,2269505765,,Belapur,8,Gail Ashiyana,400614,Kirana,Flat,No,Regular,,0,Friday,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Shop 5/17 Village Sector 8 Belapur,kirana902@hylosh.com,,,,,,,73.0432032,19.0309297,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
900,navi Mumbai chemist,lof/seller/IMG_20151019_124341.jpg,Yes,9594421999,0,No,,No,0,,Vashi,29,omana salon,400703,Chemist,Flat,No,Regular,,0,sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no.2. indraprastha chs.,kirana903@hylosh.com,SANJAY PAWAR,,,,,,73.0044783,19.0881844,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
901,Mamta Kirana Stores,lof/seller/IMG_20151019_124749.jpg,Yes,0,0,No,,No,2222703980,,Belapur,8,Artist Village,400614,Kirana,Flat,No,Regular,,0,Friday,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Artist Village Sector 8 Belapur,kirana904@hylosh.com,,,,,,,73.043181,19.0324753,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
902,kumar supermarket,lof/seller/IMG_20151019_125111.jpg,Yes,0,0,No,,No,2227663431,,Vashi,29,near south indian bank,400703,Kirana,Flat,Yes,Regular,,0,all days open,1.9E+016,1.9E+016,Yes,1.9E+016,5000,No,No,"shop no. 8, plot 62/a",kirana905@hylosh.com,MANISH,,,,,,73.0044114,19.0864281,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
903,Wellness Forever Chemist,lof/seller/IMG_20151019_124546.jpg,Yes,9167393977,9167394092,Yes,,No,0,,Kamothe,18,Opp Silver Police Station,410209,Chemist,Flat,No,Big,,0,All Day Working,1.9E+016,1.9E+016,Yes,1.9E+016,1000,Yes,Yes,Shop 24 Silver Star Plot 50 Sector 18 Kamothe,kirana906@hylosh.com,,,,,,,73.0907833,19.0146266,2.02E+016,2.02E+016,911000000000000,405000000000000,90:21:81:26:9c:08,a7e56ec2f8644cd9,2.02E+016,,0,,0,,0,
904,Hanuman Super Market,lof/seller/IMG_20151019_125219.jpg,Yes,9561473702,0,Yes,,No,0,,Belapur,8,Artist Village,400614,Kirana,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,Yes,1.9E+016,1000,No,No,Shop No 5/68 Artist Village Sector 8 Belapur,kirana907@hylosh.com,SURESH,,,,,,73.0432392,19.0333078,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
905,Sai Tej Chemist & Darggist,lof/seller/IMG_20151019_125529.jpg,Yes,9870537661,9773817343,Yes,,No,0,,Belapur,8,Artist Village,400614,Chemist,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,Shop No 12 Sankula Tower Sector 8 Belapur,kirana908@hylosh.com,,,,,,,73.0432607,19.0333772,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
906,shree ram medical,lof/seller/IMG_20151019_125827.jpg,Yes,9967343633,0,No,,No,0,,Vashi,11,behind juhu gaon,400703,Chemist,Flat,No,Regular,,0,sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no.39. behind juhu gaon bus stop,kirana909@hylosh.com,MR. KOSIP,,,,,,73.0029403,19.0868002,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
907,Santosh Super Market,lof/seller/IMG_20151019_130014.jpg,Yes,0,0,No,,No,2269955506,,Belapur,8,Artist Village,400614,Kirana,Flat,No,Regular,,0,Friday,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,Artist Village Sector 8 Belapur,kirana910@hylosh.com,PRAVIN CHOUDHARY,,,,,,73.0432234,19.0320852,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
908,patel general store,lof/seller/IMG_20151019_130240.jpg,Yes,0,0,No,,No,2227881391,,Vashi,11,behind juhu gson bus stop,400703,Kirana,Flat,No,Regular,,0,all days open,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,shop no.2. geeta apt,kirana911@hylosh.com,MR. PATEL,,,,,,73.002822,19.0866484,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
909,Jaiswal Kirana General Stores,lof/seller/IMG_20151019_130821.jpg,Yes,9324865950,0,No,,No,0,,Belapur,2,Sai Baba Mandir,400614,Kirana,Flat,No,Regular,,0,All Day working,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,Shop No 1 Sector 2 Belapur,kirana912@hylosh.com,,,,,,,73.0404669,19.029529,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
910,mahadev medical & general store,lof/seller/IMG_20151019_130731.jpg,Yes,0,0,No,,No,2227802503,,Vashi,11,juhu gaon bus stop,400703,Chemist,Flat,No,Regular,,0,Sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no.8. ganesh niketan bldg,kirana913@hylosh.com,MSHESHWAR KIMTANI,,,,,,73.0024493,19.0860838,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
911,balaji general store,lof/seller/IMG_20151019_131039.jpg,Yes,9029606667,0,No,,No,0,,Vashi,11,juhugaon,400703,Kirana,Flat,No,Regular,,0,all days open,1.9E+016,1.9E+016,No,1.9E+016,0,No,No,shop no. 4. hariyali niwas,kirana914@hylosh.com,SHAILESH,,,,,,73.0025344,19.0857896,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
912,Pragati Medical,lof/seller/IMG_20151019_131535.jpg,Yes,0,0,No,,No,2227570717,,Belapur,3,Gavkar Maidan,400614,Chemist,Flat,No,Regular,,0,All Day Working,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,Gavkar Maidan Sector 3 Belapur,kirana915@hylosh.com,,,,,,,73.0399568,19.0279658,2.02E+016,2.02E+016,867000000000000,406000000000000,bc:3a:ea:7c:f0:80,96ff8e45a385709d,2.02E+016,,0,,0,,0,
913,Shubham medical & general store,lof/seller/IMG_20151019_131509.jpg,Yes,0,0,No,,No,2227881404,,Vashi,11,juhugaon,400703,Chemist,Flat,No,Regular,,0,sunday,1.9E+016,1.9E+016,No,1.9E+016,0,Yes,No,shop no.2. shalimar apt,kirana916@hylosh.com,MR. GATKAL,,,,,,73.0018879,19.0852052,2.02E+016,2.02E+016,359000000000000,404000000000000,80:6c:1b:69:c7:e3,bdf1b8f480d9419a,2.02E+016,,0,,0,,0,
